Query ID,Flag
1986,1
3323,0
5863,0
16184,0
23236,1
3322,0
1985,1
13773,0
13780,0
11648,1
20022,1
11646,1
19277,0
4286,1
13441,0
9349,0
13443,0
18979,0
5865,0
4279,1
1991,1
9332,1
18978,0
9344,1
1984,1
14950,1
4285,1
13776,0
18990,0
25160,0
20026,1
14489,1
8032,0
19281,0
18993,0
19274,0
18982,0
25163,0
9341,1
4280,1
13774,0
19275,0
11650,1
25161,0
9336,1
9346,1
20024,1
9345,0
13444,0
459,1
12095,1
5864,0
9339,1
19272,0
20029,1
9335,1
20023,1
14485,1
10898,0
457,1
8335,0
14938,1
25165,0
11647,1
456,0
8034,0
8334,0
12094,1
8337,0
1989,1
14947,1
4283,1
20027,1
18988,0
25164,0
1983,1
18980,0
11644,1
14948,1
18992,0
21682,0
23240,1
9343,1
20028,1
8031,0
13777,0
19282,0
4282,1
11645,1
460,1
18984,0
13779,0
11649,1
9337,1
9340,1
14939,0
18987,0
455,0
20030,1
23239,1
